,IPCA
Jan/2012,0.0056
Fev/2012,0.0045
Mar/2012,0.0021
Abr/2012,0.0064
Mai/2012,0.0036
Jun/2012,0.0008
Jul/2012,0.0043
Ago/2012,0.0041
Set/2012,0.0057
Out/2012,0.0059
Nov/2012,0.006
Dez/2012,0.0079
Jan/2013,0.0086
Fev/2013,0.006
Mar/2013,0.0047
Abr/2013,0.0055
Mai/2013,0.0037
Jun/2013,0.0026
Jul/2013,0.0003
Ago/2013,0.0024
Set/2013,0.0035
Out/2013,0.0057
Nov/2013,0.0054
Dez/2013,0.0092
Jan/2014,0.0055
Fev/2014,0.0069
Mar/2014,0.0092
Abr/2014,0.0067
Mai/2014,0.0046
Jun/2014,0.004
Jul/2014,0.0001
Ago/2014,0.0025
Set/2014,0.0057
Out/2014,0.0042
Nov/2014,0.0051
Dez/2014,0.0078
Jan/2015,0.0124
Fev/2015,0.0122
Mar/2015,0.0132
Abr/2015,0.0071
Mai/2015,0.0074
Jun/2015,0.0079
Jul/2015,0.0062
Ago/2015,0.0022
Set/2015,0.0054
Out/2015,0.0082
Nov/2015,0.0101
Dez/2015,0.0096
Jan/2016,0.0127
Fev/2016,0.009
Mar/2016,0.0043
Abr/2016,0.0061
Mai/2016,0.0078
Jun/2016,0.0035
Jul/2016,0.0052
Ago/2016,0.0044
Set/2016,0.0008
Out/2016,0.0026
Nov/2016,0.0018
Dez/2016,0.003
Jan/2017,0.0038
Fev/2017,0.0033
Mar/2017,0.0025
Abr/2017,0.0014
Mai/2017,0.0031
Jun/2017,-0.0023
Jul/2017,0.0024
Ago/2017,0.0019
Set/2017,0.0016
Out/2017,0.0042
Nov/2017,0.0028
Dez/2017,0.0044
Jan/2018,0.0029
Fev/2018,0.0032
Mar/2018,0.0009
Abr/2018,0.0022
Mai/2018,0.004
Jun/2018,0.0126
Jul/2018,0.0033
Ago/2018,-0.0009
Set/2018,0.0048
Out/2018,0.0045
Nov/2018,-0.0021
Dez/2018,0.0015
Jan/2019,0.0032
Fev/2019,0.0043
Mar/2019,0.0075
Abr/2019,0.0057
Mai/2019,0.0013
Jun/2019,0.0001
Jul/2019,0.0019
Ago/2019,0.0011
Set/2019,-0.0004
Out/2019,0.001
Nov/2019,0.0051
Dez/2019,0.0115
Jan/2020,0.0021
Fev/2020,0.0025
Mar/2020,0.0007
Abr/2020,-0.0031
Mai/2020,-0.0038
Jun/2020,0.0026
Jul/2020,0.0036
Ago/2020,0.0024
Set/2020,0.0064
Out/2020,0.0086
Nov/2020,0.0089
Dez/2020,0.0135
Jan/2021,0.0025
Fev/2021,0.0086
Mar/2021,0.0093
Abr/2021,0.0031
Mai/2021,0.0083
Jun/2021,0.0053
Jul/2021,0.0096
Ago/2021,0.0087
Set/2021,0.0116
Out/2021,0.0125
Nov/2021,0.0095
Dez/2021,0.0073
Jan/2022,0.0054
Fev/2022,0.0101
Mar/2022,0.0162
Abr/2022,0.0106
Mai/2022,0.0047
Jun/2022,0.0067
Jul/2022,-0.0068
Ago/2022,-0.0036
Set/2022,-0.0029
