Symbol,Sector,Current Price
MMM,Industrials,99.64
AOS,Industrials,69.14
ABT,Health Care,108.47
ABBV,Health Care,143.44
ACN,Information Technology,287.48
ATVI,Communication Services,78.19
ADM,Consumer Staples,72.79
ADBE,Information Technology,360.43
ADP,Industrials,215.43
AAP,Consumer Discretionary,121.48
AES,Utilities,20.86
AFL,Financials,66.91
A,Health Care,129.14
APD,Materials,275.45
AKAM,Information Technology,87.77
ALK,Industrials,45.12
ALB,Materials,210.14
ARE,Real Estate,116.91
ALGN,Health Care,293.42
ALLE,Industrials,110.49
LNT,Utilities,52.64
ALL,Financials,118.89
GOOGL,Communication Services,122.83
GOOG,Communication Services,123.52
MO,Consumer Staples,45.07
AMZN,Consumer Discretionary,118.15
AMCR,Materials,10.22
AMD,Information Technology,107.93
AEE,Utilities,83.36
AAL,Industrials,15.05
AEP,Utilities,86.64
AXP,Financials,153.48
AIG,Financials,54.31
AMT,Real Estate,191.03
AWK,Utilities,141.73
AMP,Financials,303.7
ABC,Health Care,174.82
AME,Industrials,147.79
AMGN,Health Care,224.23
APH,Information Technology,76.14
ADI,Information Technology,192.26
ANSS,Information Technology,306.9
AON,Financials,324.23
APA,Energy,32.71
AAPL,Information Technology,175.05
AMAT,Information Technology,129.92
APTV,Consumer Discretionary,94.83
ACGL,Financials,75.3
ANET,Information Technology,141.46
AJG,Financials,214.5
AIZ,Financials,131.79
T,Communication Services,16.55
ATO,Utilities,115.37
ADSK,Information Technology,204.84
AZO,Consumer Discretionary,2648.95
AVB,Real Estate,175.93
AVY,Materials,171.02
AXON,Industrials,201.7
BKR,Energy,28.18
BALL,Materials,55.06
BAC,Financials,28.47
BBWI,Consumer Discretionary,37.67
BAX,Health Care,43.03
BDX,Health Care,251.57
WRB,Financials,57.54
BBY,Consumer Discretionary,73.04
BIO,Health Care,380.3
TECH,Health Care,83.27
BIIB,Health Care,305.45
BLK,Financials,669.33
BK,Financials,41.08
BA,Industrials,207.24
BKNG,Consumer Discretionary,2780.98
BWA,Consumer Discretionary,44.98
BXP,Real Estate,49.35
BSX,Health Care,53.44
BMY,Health Care,65.7
AVGO,Information Technology,677.9
BR,Industrials,154.19
BRO,Financials,66.27
BG,Consumer Staples,88.82
CHRW,Industrials,101.49
CDNS,Information Technology,216.84
CZR,Consumer Discretionary,44.81
CPT,Real Estate,106.95
CPB,Consumer Staples,52.85
COF,Financials,99.23
CAH,Health Care,85.56
KMX,Consumer Discretionary,73.13
CCL,Consumer Discretionary,11.28
CARR,Industrials,43.27
CTLT,Health Care,32.14
CAT,Industrials,214.72
CBOE,Financials,137.25
CBRE,Real Estate,76.81
CDW,Information Technology,174.73
CE,Materials,107.51
CNC,Health Care,65.8
CNP,Utilities,28.44
CDAY,Information Technology,61.64
CF,Materials,65.71
CRL,Health Care,199.26
SCHW,Financials,51.75
CHTR,Communication Services,343.61
CVX,Energy,154.01
CMG,Consumer Discretionary,2095.87
CB,Financials,200.64
CHD,Consumer Staples,94.54
CI,Health Care,256.49
CINF,Financials,105.73
CTAS,Industrials,472.2
CSCO,Information Technology,48.2
C,Financials,46.39
CFG,Financials,26.34
CLX,Consumer Staples,166.11
CME,Financials,181.81
CMS,Utilities,58.74
KO,Consumer Staples,62.8
CTSH,Information Technology,63.62
CL,Consumer Staples,79.69
CMCSA,Communication Services,41.31
CMA,Financials,38.79
CAG,Consumer Staples,35.8
COP,Energy,100.74
ED,Utilities,95.36
STZ,Consumer Staples,232.15
CEG,Utilities,81.4
COO,Health Care,387.9
CPRT,Industrials,88.37
GLW,Information Technology,31.29
CTVA,Materials,56.19
CSGP,Industrials,78.03
COST,Consumer Staples,498.1
CTRA,Energy,25.45
CCI,Real Estate,113.99
CSX,Industrials,32.39
CMI,Industrials,214.65
CVS,Health Care,69.31
