Symbol,Sector,Current Price
ABCB4,Financial Services,19.85
AGRO3,Consumer Defensive,28.78
RAIL3,Industrials,21.72
ALPA3,Consumer Cyclical,7.99
ALPA4,Consumer Cyclical,8.12
ALSO3,Real Estate,22.13
AMAR3,Consumer Cyclical,0.56
ABEV3,Consumer Defensive,13.21
ARZZ3,Consumer Cyclical,65.52
BBAS3,Financial Services,46.8
BBDC3,Financial Services,12.6
BBDC4,Financial Services,14.38
BEEF3,Consumer Defensive,8.15
BPAN4,Financial Services,7.72
BRAP3,Financial Services,20.04
BRAP4,Financial Services,21.8
BRFS3,Consumer Defensive,10.45
APER3,Financial Services,31.4
BRKM3,Basic Materials,21.35
BRKM5,Basic Materials,19.6
BRPR3,Real Estate,165.01
BRSR6,Financial Services,11.93
OIBR3,Communication Services,0.58
OIBR4,Communication Services,1.93
B3SA3,Financial Services,11.86
CCRO3,Industrials,12.23
CEDO4,Consumer Cyclical,15.0
CGAS5,Utilities,128.52
CGRA4,Consumer Cyclical,25.9
CIEL3,Technology,3.43
CMIG3,Utilities,19.31
CMIG4,Utilities,12.21
COCE5,Utilities,43.55
CPFE3,Utilities,33.52
CPLE3,Utilities,7.88
CPLE6,Utilities,8.4
CSAN3,Energy,16.29
CSMG3,Utilities,16.93
CSNA3,Basic Materials,11.56
CTNM4,Consumer Cyclical,1.94
CYRE3,Consumer Cyclical,19.69
DASA3,Healthcare,12.4
DIRR3,Real Estate,18.34
ECOR3,Industrials,7.35
ELET3,Utilities,35.4
ELET6,Utilities,39.13
EMBR3,Industrials,16.71
ENGI4,Utilities,7.55
EQTL3,Utilities,31.43
YDUQ3,Consumer Defensive,20.93
ETER3,Industrials,7.7
EUCA4,Industrials,12.25
EVEN3,Real Estate,6.1
EZTC3,Real Estate,17.72
FESA4,Basic Materials,47.09
FHER3,Basic Materials,8.15
TASA4,Industrials,15.34
FLRY3,Healthcare,15.85
FRIO3,Consumer Cyclical,45.05
GFSA3,Consumer Cyclical,4.44
GGBR3,Basic Materials,21.26
GGBR4,Basic Materials,23.0
GOAU3,Basic Materials,10.69
GOAU4,Basic Materials,10.66
GOLL4,Industrials,6.24
GRND3,Consumer Cyclical,6.61
GSHP3,Real Estate,13.2
HBOR3,Real Estate,2.49
PRIO3,Energy,43.9
HYPE3,Healthcare,35.65
MEAL3,Consumer Cyclical,1.85
INEP3,Industrials,4.81
INEP4,Industrials,3.62
ITSA3,Industrials,9.02
ITSA4,Industrials,8.89
ITUB3,Financial Services,23.03
ITUB4,Financial Services,27.21
JBSS3,Consumer Defensive,18.21
JFEN3,Real Estate,2.51
JHSF3,Real Estate,4.57
KEPL3,Industrials,10.84
KLBN4,Basic Materials,4.75
LEVE3,Consumer Cyclical,48.0
LIGT3,Utilities,5.34
LOGN3,Industrials,39.25
LPSB3,Real Estate,2.08
