Symbol,Sector,Current Price
ABCB4,Financial Services,19.6
AGRO3,Consumer Defensive,29.11
RAIL3,Industrials,21.91
ALPA3,Consumer Cyclical,7.59
ALPA4,Consumer Cyclical,7.34
ALSO3,Real Estate,23.23
AMAR3,Consumer Cyclical,0.55
ABEV3,Consumer Defensive,12.8
ARZZ3,Consumer Cyclical,62.78
BBAS3,Financial Services,49.36
BBDC3,Financial Services,12.67
BBDC4,Financial Services,14.49
BEEF3,Consumer Defensive,7.8
BPAN4,Financial Services,7.72
BRAP3,Financial Services,20.35
BRAP4,Financial Services,22.13
BRFS3,Consumer Defensive,10.61
APER3,Financial Services,33.17
BRKM3,Basic Materials,19.68
BRKM5,Basic Materials,18.87
BRPR3,Real Estate,155.0
BRSR6,Financial Services,11.32
OIBR3,Communication Services,0.7
OIBR4,Communication Services,2.03
B3SA3,Financial Services,11.27
CCRO3,Industrials,12.05
CEDO4,Consumer Cyclical,15.15
CEED3,Utilities,36.97
CGAS5,Utilities,127.55
CGRA4,Consumer Cyclical,25.99
CIEL3,Technology,3.54
CMIG3,Utilities,17.16
CMIG4,Utilities,12.01
COCE5,Utilities,40.7
CPFE3,Utilities,32.69
CPLE3,Utilities,7.74
CPLE6,Utilities,8.31
CSAN3,Energy,15.81
CSMG3,Utilities,16.66
CSNA3,Basic Materials,11.65
CTNM4,Consumer Cyclical,2.06
CYRE3,Consumer Cyclical,18.68
DASA3,Healthcare,10.15
DIRR3,Real Estate,17.49
ECOR3,Industrials,7.21
ELET3,Utilities,34.91
ELET6,Utilities,38.62
EMBR3,Industrials,17.69
ENGI4,Utilities,7.25
EQTL3,Utilities,30.62
YDUQ3,Consumer Defensive,19.19
ETER3,Industrials,7.6
EUCA4,Industrials,12.75
EVEN3,Real Estate,5.8
EZTC3,Real Estate,16.02
FESA4,Basic Materials,48.42
FHER3,Basic Materials,7.07
TASA4,Industrials,15.79
FLRY3,Healthcare,15.4
FRIO3,Consumer Cyclical,51.0
GFSA3,Consumer Cyclical,3.64
GGBR3,Basic Materials,20.74
GGBR4,Basic Materials,22.33
GOAU3,Basic Materials,10.41
GOAU4,Basic Materials,10.42
GOLL4,Industrials,7.8
GRND3,Consumer Cyclical,6.34
GSHP3,Real Estate,14.5
HBOR3,Real Estate,2.4
PRIO3,Energy,50.2
HYPE3,Healthcare,33.95
MEAL3,Consumer Cyclical,1.62
INEP3,Industrials,4.83
INEP4,Industrials,3.5
ITSA3,Industrials,8.91
ITSA4,Industrials,8.84
ITUB3,Financial Services,23.3
ITUB4,Financial Services,27.32
JBSS3,Consumer Defensive,19.03
JFEN3,Real Estate,2.33
JHSF3,Real Estate,4.34
JSLG3,Industrials,8.45
KEPL3,Industrials,10.6
KLBN4,Basic Materials,4.75
LEVE3,Consumer Cyclical,39.97
LIGT3,Utilities,5.11
LOGN3,Industrials,35.25
LPSB3,Real Estate,2.07
LREN3,Consumer Cyclical,12.81
LUPA3,Energy,2.2
MDIA3,Consumer Defensive,34.9
MGEL4,Basic Materials,14.19
MGLU3,Consumer Cyclical,1.69
MILS3,Industrials,10.63
ENEV3,Utilities,10.86
MRFG3,Consumer Defensive,6.65
MRVE3,Consumer Cyclical,9.23
MULT3,Real Estate,24.72
MYPK3,Consumer Cyclical,12.23
ODPV3,Healthcare,10.58
OSXB3,Energy,7.15
PDGR3,Real Estate,3.03
PETR3,Energy,40.61
PETR4,Energy,37.67
